Twitter,State,Chamber of Congress,Name,Party,screen_name
@RepDavids,Kansas 3rd District,U.S. Representative,"Davids, Sharice",D,RepDavids
@RepRonEstes,Kansas 4th District,U.S. Representative,"Estes, Ron",R,RepRonEstes
@RandPaul,Kentucky,U.S. Senator,"Paul, Rand",R,RandPaul
@McConnellPress,Kentucky,U.S. Senator,"McConnell, Mitch",R,McConnellPress
@JamesComer,Kentucky 1st District,U.S. Representative,"Comer, James",R,JamesComer
@RepGuthrie,Kentucky 2nd District,U.S. Representative,"Guthrie, S. Brett",R,RepGuthrie
@RepJohnYarmuth,Kentucky 3rd District,U.S. Representative,"Yarmuth, John A.",D,RepJohnYarmuth
@RepThomasMassie,Kentucky 4th District,U.S. Representative,"Massie, Thomas",R,RepThomasMassie
@RepHalRogers,Kentucky 5th District,U.S. Representative,"Rogers, Harold",R,RepHalRogers
@RepAndyBarr,Kentucky 6th District,U.S. Representative,"Barr, Andy",R,RepAndyBarr
@JohnKennedyLA,Louisiana,U.S. Senator,"Kennedy, John",R,JohnKennedyLA
@BillCassidy,Louisiana,U.S. Senator,"Cassidy, Bill",R,BillCassidy
@SteveScalise,Louisiana 1st District,U.S. Representative,"Scalise, Steve",R,SteveScalise
@RepRichmond,Louisiana 2nd District,U.S. Representative,"Richmond, Cedric",D,RepRichmond
@CaptClayHIggins,Louisiana 3rd District,U.S. Representative,"Higgins, Clay",R,CaptClayHIggins
@RepMikeJohnson,Louisiana 4th District,U.S. Representative,"Johnson, Mike",R,RepMikeJohnson
@RepAbraham,Louisiana 5th District,U.S. Representative,"Abraham, Ralph",R,RepAbraham
@RepGarretGraves,Louisiana 6th District,U.S. Representative,"Graves, Garret",R,RepGarretGraves
@SenAngusKing,Maine,U.S. Senator,Angus King,I,SenAngusKing
@SenatorCollins,Maine,U.S. Senator,"Collins, Susan",R,SenatorCollins
@chelliepingree,Maine 1st District,U.S. Representative,"Pingree, Chellie",D,chelliepingree
@RepGolden,Maine 2nd District,U.S. Representative,"Golden, Jared",D,RepGolden
@ChrisVanHollen,Maryland,U.S. Senator,"Van Hollen, Chris",D,ChrisVanHollen
@SenatorCardin,Maryland,U.S. Senator,"Cardin, Benjamin",D,SenatorCardin
@RepAndyHarrisMD,Maryland 1st District,U.S. Representative,"Harris, Andy",R,RepAndyHarrisMD
@Call_Me_Dutch,Maryland 2nd District,U.S. Representative,"Ruppersberger, C. A. Dutch",D,Call_Me_Dutch
@RepSarbanes,Maryland 3rd District,U.S. Representative,"Sarbanes, John P.",D,RepSarbanes
@RepAnthonyBrown,Maryland 4th District,U.S. Representative,"Brown, Anthony",D,RepAnthonyBrown
@LeaderHoyer,Maryland 5th District,U.S. Representative,"Hoyer, Steny H.",D,LeaderHoyer
@RepDavidTrone,Maryland 6th District,U.S. Representative,"Trone, David",D,RepDavidTrone
@Mfume4Congress,Maryland 7th District,U.S. Representative,"Mfume, Kweisi",D,Mfume4Congress
@Jamie_Raskin,Maryland 8th District,U.S. Representative,"Raskin, Jamie",D,Jamie_Raskin
@SenWarren,Massachusetts,U.S. Senator,"Warren, Elizabeth",D,SenWarren
@SenMarkey,Massachusetts,U.S. Senator,"Markey, Edward",D,SenMarkey
